Product Name
"FRUITS, FRESH or FROZEN; TREE NUTS"
Citrus fruits
Grapefruits
Oranges
Lemons
Limes
Mandarins
Others (2)
Tree nuts
Almonds
Brazil nuts
Cashew nuts
Chestnuts
Coconuts
Hazelnuts/cobnuts
Macadamias
Pecans
Pine nut kernels
Pistachios
Walnuts
Others (2)
Pome fruits
Apples
Pears
Quinces
Medlars
Loquats/Japanese medlars
Others (2)
Stone fruits
Apricots
Cherries (sweet)
Peaches
Plums
Others (2)
Berries and small fruits
(a) grapes
Table grapes
Wine grapes
(b) strawberries
(c) cane fruits
Blackberries
Dewberries
Raspberries (red and yellow)
Others (2)
(d) other small fruits and berries
Blueberries
Cranberries
"Currants (black, red and white)"
"Gooseberries (green, red and yellow)"
Rose hips
Mulberries (black and white)
Azaroles/Mediterranean medlars
Elderberries
Others (2)
Miscellaneous fruitswith
(a) edible peel
Dates
Figs
Table olives
Kumquats
Carambolas
Kaki/Japanese persimmons
Jambuls/jambolans
Others (2)
"(b) inedible peel, small"
"Kiwi fruits (green, red, yellow)"
Litchis/lychees
Passionfruits/maracujas
Prickly pears/cactus fruits
Star apples/cainitos
American persimmons/Virginia kaki
Others (2)
"(c) inedible peel, large"
Avocados
Bananas
Mangoes
Papayas
Granate apples/pomegranates
Cherimoyas
Guavas
Pineapples
Breadfruits
Durians
Soursops/guanabanas
Others (2)
"VEGETABLES, FRESH or FROZEN"
Root and tuber vegetables
(a) potatoes
(b) tropical root and tuber vegetables
Cassava roots/manioc
Sweet potatoes
Yams
Arrowroots
Others (2)
(c) other root and tuber vegetables except sugar beets
Beetroots
Carrots
Celeriacs/turnip rooted celeries
Horseradishes
Jerusalem artichokes
Parsnips
Parsley roots/Hamburg roots parsley
Radishes
Salsifies
Swedes/rutabagas
Turnips
Others (2)
Bulb vegetables
Garlic
Onions
Shallots
Spring onions/green onions and Welsh onions
Others (2)
Fruiting vegetables
(a) Solanaceae and Malvaceae
Tomatoes
Sweet peppers/bell peppers
Aubergines/eggplants
Okra/lady's fingers
Others (2)
(b) cucurbits with edible peel
Cucumbers
Gherkins
Courgettes
Others (2)
(c) cucurbits with inedible peel
Melons
Pumpkins
Watermelons
Others (2)
